Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Лаба,Мартин,Лукʼянович,Чоловіча,21-09-2004,Штукатур,місто Житомир,"проспект Регенсбург, буд. 2, Сарни, 28973",+380 11 700 10 80,vashchenkoartem@example.com
Лупій,Алевтин,Давидович,Чоловіча,23-01-1983,Єгер,місто Мена ,"провулок Михайла Грушевського, буд. 6, Світловодськ, 48485",+380 85 626-00-96,nadiia38@example.org
Гресь,Гаврило,Остапович,Чоловіча,17-08-1961,Пекар,місто Пирятин,"провулок Польський узвіз, буд. 043, Сніжне, 12236",+380 32 565-23-26,dmytrosvystun@example.org
Василечко,Варфоломій,Леонідович,Чоловіча,10-12-1982,Перекладач,село Благовіщенське,"площа Іванова 1-й, буд. 12 кв. 9, Бібрка, 06438",+380 37 902-74-49,ohaidabura@example.net
Верменич,Тимофій,Семенович,Чоловіча,19-08-1994,Менеджер,місто Вилкове,"вулиця Героїв оборони Одеси, буд. 66, Носівка, 71258",+380 14 299-27-62,qkyrylenko@example.org
Мірошниченко,Нестор,Миронович,Чоловіча,07-04-1999,Астронавт,хутір Первомайськ,"сквер Новомосковська дорога, буд. 3, Луганськ, 33597",+380 38 365 03 73,varvarababarychenko@example.org
Габелко,Нестор,Леопольдович,Чоловіча,12-06-2006,Археолог,місто Одеса,"шосе Юрженка Олександра, буд. 74 кв. 083, Конотоп, 05544",043 864 58 18,iaremaiaremkiv@example.net
Ткаченко,Орест,Геннадійович,Чоловіча,30-07-1975,Агроном,місто Ізюм,"проспект Локальна, буд. 682 кв. 2, Прилуки, 24365",788 99 37,hresdmytro@example.com
Редько,Юхим,Лукʼянович,Чоловіча,02-11-1959,Професор,село Сорокине,"шосе Лиманчик 2-й Лінія 8-ма, буд. 02 кв. 9, Хмельницький, 27804",006 368-87-62,allachernenko@example.com
Сич,Леопольд,Григорійович,Чоловіча,22-04-1962,Архітектор,село Глобине,"сквер Новомосковська дорога, буд. 805 кв. 58, Карлівка, 15264",067 281 63 29,xlukash@example.org
Аврамчук,Семен,Яковович,Чоловіча,19-07-1951,Ді-джей,хутір Снігурівка,"вулиця Михайла Жванецького, буд. 581 кв. 189, Калуш, 59029",394-96-48,kyrylo24@example.org
Забіла,Семен,Федорович,Чоловіча,17-07-1984,Парфюмер,село Підгородне,"шосе Пироговська, буд. 46 кв. 93, Світловодськ, 27149",478-48-27,mstets@example.net
Шиян,Адам,Хомович,Чоловіча,28-01-1964,Палеонтолог,село Узин,"вулиця Грузовий, буд. 1 кв. 9, Полтава, 23653",+380 69 985-80-34,pandriishyna@example.net
Шаблій,Пилип,Єфремович,Чоловіча,18-06-1986,Біолог,селище Кремінна,"вулиця Селищний, буд. 4 кв. 11, Новомиргород, 11669",+380 52 446-95-52,giemets@example.net
Корж,Артем,Георгійович,Чоловіча,23-12-1938,Режисер,село П'ятихатки,"шосе Амурський 1-й, буд. 9, Тараща, 83516",+380 70 694 81 87,ihnat71@example.net
Карпа,Хома,Богданович,Чоловіча,28-12-1946,Конструктор,хутір Лутугине,"узвіз Пілотна, буд. 50 кв. 8, Сквира, 57871",+380 68 198 63 46,iaremenkoomelian@example.com
Полтавець,Владислав,Федорович,Чоловіча,09-12-1952,Етнограф,селище Гайсин,"площа Учнівська, буд. 061 кв. 402, Красноград, 28842",006-77-48,prokhir65@example.com
Сіробаба,Олександр,Зорянович,Чоловіча,18-03-2000,Євнух,місто Хрестівка,"вулиця Хвойний, буд. 6, Козятин, 57728",+380 00 418 25 22,danchukolena@example.com
Демʼянчук,Лесь,Ааронович,Чоловіча,21-04-1939,Геолог,хутір Надвірна,"узвіз Івана Вазова, буд. 7 кв. 440, Харків, 05542",+380 18 652-08-89,mykytafranchuk@example.net
Фоменко,Макар,Ігнатович,Чоловіча,11-12-1951,Біолог,місто Боярка,"сквер Різницький, буд. 08 кв. 0, Вугледар, 12385",072 65 14,samoilenkomakar@example.com
Чабан,Максим,Григорійович,Чоловіча,29-04-1984,Паблік рилейшнз,село Карлівка,"шосе Болгарська, буд. 351, Кропивницький, 41470",+380 04 955-42-22,oberemkoielysei@example.com
Вертипорох,Юхим,Олесьович,Чоловіча,01-03-1973,Мистецтвознавець,місто Залізне,"шосе Архітекторська, буд. 2 кв. 5, Нове Давидково, 78949",+380 97 592 01 51,frants46@example.net
Тичина,Антон,Борисович,Чоловіча,18-01-1956,Штукатур,хутір Монастирище,"узвіз Нафтовиків 2-й, буд. 51 кв. 04, Дніпро , 07520",999 62 36,kyrylenkoirena@example.com
Фесенко,Микита,Васильович,Чоловіча,05-02-1941,Астронавт,село Моспине,"проспект Проектований 4-й, буд. 3, Чистякове, 94332",+380 98 818-12-32,hodunokzorian@example.org
Івасюк,Давид,Ігнатович,Чоловіча,13-11-1940,Кіноактор,місто Полтава,"проспект Тургенєва, буд. 854 кв. 951, Тиврів, 05195",+380 (45) 311-48-07,yvivcharenko@example.com
Єрьоменко,Ігнат,Аркадійович,Чоловіча,26-08-1968,Складальник,хутір Євпаторія,"сквер Український 2-й, буд. 6, Богуслав, 95019",053 492 30 52,eduard61@example.net
Дацюк,Руслан,Олегович,Чоловіча,04-08-1960,Лікар,селище Умань,"парк Проектна 1-ша, буд. 37 кв. 7, Нетішин, 62230",+380 18 491 32 01,demydieroshenko@example.net
Петлюра,Онисим,Несторович,Чоловіча,07-05-1985,Агроном,село Мирноград,"площа Станційна 1-ша, буд. 5 кв. 77, Жмеринка, 72594",076 389 24 70,banduradaryna@example.org
Шинкаренко,Василь,Опанасович,Чоловіча,01-12-1998,Музикознавець,село Бахмут,"шосе Офіцерський 1-й, буд. 60 кв. 0, Горішні Плавні, 77423",+380 (78) 064-69-16,vasylenkoihor@example.net
Ящук,Теодор,Русланович,Чоловіча,13-04-2003,Петрограф,селище Устилуг,"шосе Студентський 3-й, буд. 95, Сторожинець, 25764",+380 87 753-27-32,pylypzabashta@example.org
Тиха,Єфрем,Миколайович,Чоловіча,03-01-1987,Вчитель,місто Добропілля,"вулиця Кримський, буд. 7 кв. 87, П'ятихатки, 79673",030 273-17-57,jchuiko@example.org
Бабак,Давид,Єлисейович,Чоловіча,09-02-1969,Скульптор,хутір Бунге ,"шосе Дачний 1-й, буд. 1, Боярка, 84363",+380 07 960 05 58,leontiibevzenko@example.org
Дробаха,Болеслав,Тарасович,Чоловіча,30-08-1986,Інженер,хутір Городище ,"набережна Чорноморського козацтва, буд. 519, Кіцмань, 58541",078 835 53 60,vchaban@example.org
Єрьоменко,Микита,Демʼянович,Чоловіча,23-04-2005,Дизайнер,село Червоносів,"вулиця Старобазарний, буд. 18 кв. 9, Оріхів, 26060",+380 47 769-68-89,bdubas@example.org
Туркало,Павло,Вікторович,Чоловіча,16-04-1968,Реабілітолог,селище Дергачі,"шосе Станційна 3-тя, буд. 7 кв. 857, Алчевськ, 66577",+380 (39) 386-42-00,gmakarenko@example.org
Корж,Олександр,Євгенійович,Чоловіча,25-05-1982,Модель,селище Петрово-Красносілля,"шосе Братська, буд. 663 кв. 1, Новодружеськ, 01721",037 556-50-27,khoma55@example.org
Юрчук,Віталій,Симонович,Чоловіча,06-02-1951,Геофізик,село Рубіжне,"вулиця Лінія 53-тя, буд. 5, Моршин, 25280",253-00-51,abramchukvarfolomii@example.org
Аронець,Семен,Васильович,Чоловіча,19-01-1950,Продюсер,місто Перещепине,"узвіз Березова, буд. 96, Хоростків, 82105",+380 87 229-79-11,karasada@example.net
Демʼяненко,Антон,Іванович,Чоловіча,03-12-1969,Географ,селище Кілія,"шосе Трояндова, буд. 7 кв. 14, Богуслав, 79386",+380 22 424 14 86,fediriakymchuk@example.com
Терещук,Олекса,Августинович,Чоловіча,27-04-1967,Лікар,місто Бердянськ,"парк Підйомний, буд. 5 кв. 134, Армянськ, 39334",+380 52 776-70-08,romanetshennadii@example.net
Дахно,Леонід,Микитович,Чоловіча,07-03-1945,Піаніст,селище Великі Мости,"шосе Середньофонтанська, буд. 108, Березань , 48891",394 58 29,skabanenko@example.net
Девдюк,Віктор,Гаврилович,Чоловіча,22-06-1978,Пекар,селище Судова Вишня,"сквер 2-й Академічний тупик, буд. 5 кв. 93, Тараща, 25733",039 576-24-11,venedykt41@example.com
Адамчук,Августин,Валентинович,Чоловіча,15-04-2004,Акушер,село Іловайськ,"парк Якутська, буд. 8, Калинівка , 35150",+380 20 635 91 22,olestelychenko@example.com
Бабич,Тарас,Тимофійович,Чоловіча,18-11-1958,Кухар,село Фастів,"провулок 11-та Лінія Марії Демченко, буд. 432 кв. 9, Шепетівка, 74345",673 24 85,kybkaloonysym@example.net
Адаменко,Дмитро,Федорович,Чоловіча,28-07-1971,Намотувальник,село Ізяслав,"парк Студентський 2-й, буд. 740, Арциз, 55154",+380 67 679-97-39,cdankevych@example.org
Бакуменко,Олекса,Варфоломійович,Чоловіча,25-09-1944,Сценарист,селище Білозерське,"набережна Лінія 27-ма, буд. 7, Марганець , 70771",+380 (14) 748-59-74,diukhymenko@example.net
Кащенко,Ігор,Миколайович,Чоловіча,13-01-1995,Ріелтор,селище Селидове,"провулок Амбулаторний 2-й, буд. 663 кв. 071, Бахмут, 94679",+380 86 131-57-85,iurchyshynaalina@example.net
Давиденко,Олесь,Демидович,Чоловіча,16-07-2007,Архітектор,селище Тальне,"вулиця Восьмого березня 1-й, буд. 22, Вознесенськ, 58722",017 550 08 27,zonishchuk@example.org
Гайворонський,Пантелеймон,Яковович,Чоловіча,12-05-2006,Фізик,село Соледар,"площа Лінія 28-ма, буд. 4 кв. 4, Гірник , 34898",+380 (41) 602-56-22,derhachbohdan@example.net
Полтавець,Єлисей,Тимофійович,Чоловіча,11-03-1970,Електротехнік,хутір Ізмаїл,"площа Наливна, буд. 77, Умань, 65813",791-99-22,roman27@example.com
Гаврюшенко,Віктор,Данилович,Чоловіча,26-02-1957,Графік,селище Красногорівка,"вулиця Аеропортівський 3-й, буд. 2, Звенигородка, 74966",+380 91 631-08-07,abramchukiustym@example.com
Міщенко,Едуард,Венедиктович,Чоловіча,06-07-2008,Менеджер,хутір Чуднів,"провулок Немировича-Данченка, буд. 16 кв. 11, Мостиська, 64308",+380 10 947 74 64,wgerus@example.org
Ващук,Охрім,Болеславович,Чоловіча,08-12-1990,Кухар,хутір Дніпрорудне,"сквер Учнівська, буд. 056 кв. 21, Генічеськ, 55552",+380 69 377-91-11,sfranchuk@example.net
Заруба,Гордій,Костянтинович,Чоловіча,18-08-1985,Флорист,місто Підгайці,"сквер Василя Кандинського 1-й, буд. 2, Біла Церква, 64859",+380 37 332-45-55,teodorieroshenko@example.net
Царенко,Мирослав,Хомович,Чоловіча,27-11-1976,Секретар,село Долина ,"сквер Івана Франка, буд. 1 кв. 1, Тетіїв, 80972",+380 (35) 662-82-62,mariiababiichuk@example.com
Бабко,Яків,Дмитрович,Чоловіча,17-11-1963,Шериф,селище Ялта,"вулиця Східчастий 3-й, буд. 3 кв. 701, Горлівка, 52305",+380 87 184-95-68,dubenkoveniiamyn@example.org
Черненко,Болеслав,Олесьович,Чоловіча,10-01-1966,Маркетолог,хутір Іловайськ,"проспект Альпіністів, буд. 057 кв. 28, Севастополь, 33446",+380 59 600-17-76,jdankevych@example.com
Скирда,Гаврило,Аврелійович,Чоловіча,17-09-1986,Гірник,селище Горохів,"вулиця Тепличний 1-й, буд. 901 кв. 088, Путивль, 03426",+380 86 456 53 75,solomiia74@example.com
Негода,Едуард,Федорович,Чоловіча,07-12-1971,Публіцист,місто Жданівка,"узвіз Кредитний, буд. 472 кв. 77, Городня, 04907",002 593-89-05,ielyseifurs@example.com
Гайденко,Панас,Альбертович,Чоловіча,10-10-1996,Юрист,село Новояворівськ,"проспект Рівності, буд. 9 кв. 8, Волочиськ, 26229",031 154 83 93,aaronandroshchuk@example.org
Дерегус,Назар,Устимович,Чоловіча,01-06-1955,Електротехнік,село Андрушівка,"парк Заньковецької, буд. 8 кв. 456, Мелітополь, 45727",+380 39 361-44-24,tetianaiukhymenko@example.com
Романчук,Ігор,Адамович,Чоловіча,03-02-1960,Математик,село Макіївка,"узвіз Недєліна, буд. 5, Джанкой, 03605",+380 (37) 013-65-11,mshamrai@example.net
Бандурка,Охрім,Ростиславович,Чоловіча,02-07-1994,Кухар,село Володимир-Волинський,"провулок Лінія 35-та, буд. 48 кв. 92, Самбір, 90302",+380 95 889-88-88,asuprunenko@example.net
Вобла,Іван,Демʼянович,Чоловіча,18-01-1975,Епідеміолог,селище Глиняни,"шосе Чорноморський 11-й, буд. 4, Борзна, 94029",028-20-81,mrubets@example.com
Вишиваний,Гліб,Прохорович,Чоловіча,07-02-1950,М'ясник,хутір Дебальцеве,"площа Промисловий, буд. 192 кв. 515, Мостиська, 53193",282 67 28,daryna77@example.net
Дрозденко,Святослав,Вікторович,Чоловіча,30-09-1992,Науковець,хутір Херсон,"узвіз Саксаганського, буд. 80 кв. 11, Долинська, 99299",017 050-52-05,evoblyi@example.com
Бабиченко,Леопольд,Леонтійович,Чоловіча,15-05-1993,Фізик,селище Полтава,"узвіз Березовий, буд. 534, Чугуїв, 92666",+380 63 157-28-03,zinchukpanas@example.net
Кальченко,Петро,Єфремович,Чоловіча,25-05-1959,Модельєр,село Корець,"вулиця Костанді, буд. 56 кв. 247, Трускавець, 47382",004 108-99-11,khrystenkoanita@example.org
Байрак,Миколай,Геннадійович,Чоловіча,19-04-1994,Нотаріус,селище Ківерці,"шосе Морехідний, буд. 219, Золочів, 94225",300-34-72,bohuslavsemenchenko@example.org
Охріменко,Георгій,Демидович,Чоловіча,04-02-1975,Ветеринар,місто Первомайськ,"шосе Хімічна, буд. 1 кв. 34, Рудки, 76947",126 98 14,ftsymbal@example.com
Гавришкевич,Яків,Михайлович,Чоловіча,08-11-1987,Етнограф,хутір Ромни,"сквер Крутоярська, буд. 7, Тараща, 99644",+380 (88) 190-34-46,uartemenko@example.com
Ляшко,Аркадій,Адамович,Чоловіча,03-06-1976,Випробувач,село Пустомити,"вулиця Скидановська, буд. 280 кв. 51, Новгород-Сіверський, 71222",032 813 63 42,ukorzh@example.org
Бгиденко,Павло,Ааронович,Чоловіча,29-10-1989,Композитор,селище Кам'янка-Дніпровська,"шосе Маршрутна, буд. 37 кв. 67, Хирів, 98903",136-45-64,hanna51@example.com
Адаменко,Геннадій,Августинович,Чоловіча,23-02-1987,Хімік,хутір Добромиль,"сквер Матроський узвіз, буд. 89 кв. 31, Ланівці, 73713",+380 31 901-04-55,nadiiaiushchenko@example.net
Тягнибок,Захар,Веніяминович,Чоловіча,08-09-2006,Правник,селище Липовець,"сквер Алмазна, буд. 44, Скадовськ, 69929",+380 68 659-39-97,korpaniukfeofan@example.org
Полтавець,Спас,Демʼянович,Чоловіча,05-05-1953,Геолог,село Гірське,"сквер 15-та ст. Великого Фонтану пляж, буд. 2 кв. 60, Бориспіль, 29584",059-47-44,vnosachenko@example.com
Рябченко,Євген,Орхипович,Чоловіча,26-05-1964,Дерун,селище Привілля,"сквер Волзький, буд. 200 кв. 55, Жовті Води, 82953",402-75-38,havrylivzorian@example.org
Масляк,Пармен,Соломонович,Чоловіча,10-08-1991,Співак,місто Новий Буг,"проспект Нахімова, буд. 7, Горішні Плавні, 79518",707-14-11,ishchenkoborys@example.com
Теліженко,Симон,Теодорович,Чоловіча,06-04-1949,Драматург,місто Федорівка,"площа Новоселів, буд. 909, Батурин, 73291",+380 61 408-52-78,flukash@example.com
Івасюк,Спас,Богуславович,Чоловіча,06-02-1966,Клавішник,село Роздільна,"узвіз 7-ма Суворовська, буд. 423, Чорноморськ, 16104",195-02-80,marusia11@example.com
Скорик,Дмитро,Валерійович,Чоловіча,28-04-1948,Випробувач,селище Херсон,"проспект Десятого квітня, буд. 549 кв. 942, Ромни, 11907",025 155-91-24,makar02@example.com
Скирда,Єлисей,Семенович,Чоловіча,05-05-1996,Футболіст,хутір Овруч,"сквер Михайлівська, буд. 239 кв. 71, Кременчук, 24311",+380 36 573-68-89,vladyslavlazarenko@example.net
Давимука,Владислав,Георгійович,Чоловіча,05-11-1976,Антрополог,хутір Зугрес,"площа Басейний 2-й, буд. 87 кв. 254, Лохвиця, 71650",+380 (60) 087-32-30,drozdenkoborys@example.org
Швачка,Венедикт,Ігнатович,Чоловіча,29-10-1962,Мікробіолог,село Часів Яр,"вулиця Розумовський 2-й, буд. 8, Любомль, 41373",054-95-95,dhavrylyshyn@example.net
Ніколюк,Болеслав,Богданович,Чоловіча,03-03-1975,Журналіст,місто Новоукраїнка,"вулиця Ширшова, буд. 89 кв. 181, Часів Яр, 18550",052 491 13 32,tkachenkovira@example.org
Данько,Максим,Святославович,Чоловіча,06-01-1940,Астроном,місто Старобільськ,"вулиця Хутірський, буд. 709, Звенигородка, 70962",+380 93 834-44-67,oryna21@example.org
Рудик,Артем,Алевтинович,Чоловіча,02-01-2001,Паблік рилейшнз,місто Горлівка,"сквер Морський, буд. 3 кв. 8, Очаків, 95537",+380 96 404-17-18,vasylashkostepan@example.net
Базавлученко,Лукʼян,Григорійович,Чоловіча,16-04-1966,Провізор,хутір Буча,"сквер Металістів, буд. 5 кв. 73, Слов'янськ, 16572",+380 75 826 12 34,prokhirderiazhna@example.net
Вернидуб,Валентин,Данилович,Чоловіча,06-12-1981,Електромонтер,хутір Зіньків,"узвіз Танкістів, буд. 796 кв. 04, Сніжне, 36211",+380 77 737-15-06,shyiannataliia@example.org
Баклан,Ігнат,Максимович,Чоловіча,26-02-2000,Економіст,хутір Білозерське,"площа Білоруська, буд. 5, Мостиська, 45901",093 280-52-20,jdakhno@example.com
Вакарчук,Тимофій,Йосипович,Чоловіча,08-08-1950,Графік,місто Середина-Буда,"шосе Пересипська 9-та, буд. 62 кв. 7, Костопіль, 15740",481-06-67,anzhelavakhnii@example.com
Шеремет,Ярема,Прохорович,Чоловіча,23-03-1971,Піаніст,місто Новомиргород,"сквер Амбулаторний, буд. 48 кв. 8, Коростень, 79320",768-31-79,serhii92@example.com
Романенко,Назар,Васильович,Чоловіча,11-05-1969,Ріелтор,село Нова Одеса,"провулок Сурикова 2-й, буд. 108, Луганськ, 38592",+380 08 248-71-58,cmykhaliuk@example.com
Бандера,Герман,Лукʼянович,Чоловіча,28-11-1952,Режисер,село Болехів,"площа Танкерна, буд. 428, Мала Виска, 34023",+380 62 516-11-52,iemetszorian@example.org
Симоненко,Леонтій,Симонович,Чоловіча,08-05-1999,Ветеринар,хутір Апостолове,"шосе Вітчизняна, буд. 39, Березівка, 47194",266 77 79,fedirandreiko@example.org
Акуленко,Мартин,Прохорович,Чоловіча,02-03-2004,Правник,село Білогірськ,"узвіз Угорська, буд. 500 кв. 355, Боково-Хрустальне, 23808",033 021-18-63,zynovii25@example.org
Артеменко,Алевтин,Іванович,Чоловіча,26-11-1963,Мистецтвознавець,місто Хотин,"набережна Князівський, буд. 7, Заставна, 91998",+380 80 577-84-50,tymofiiiatsenko@example.org
Фартушняк,Віктор,Ааронович,Чоловіча,08-12-1944,Актор,село Білопілля,"провулок Солонцюватий 1-й, буд. 82 кв. 92, Гадяч, 57032",088 459-84-18,tkybkalo@example.org
Єременко,Данило,Стефанович,Чоловіча,30-09-2006,Актор,село Путивль,"вулиця Дніпропетровська дорога, буд. 1, Тульчин, 38881",678 98 50,olifirenkobohuslav@example.net
Полтавець,Юхим,Степанович,Чоловіча,06-10-1970,Парфюмер,місто Енергодар,"вулиця Лютневий 1-й, буд. 535, Гайворон, 29344",+380 11 645 77 62,kostiantyn46@example.com
Щириця,Гаврило,Охрімович,Чоловіча,29-09-1940,Будник,селище Ворожба,"набережна Гонтаренко, буд. 2 кв. 49, Покровськ, 26916",+380 37 912-95-38,irena08@example.net
Артимишин,Валентин,Орестович,Чоловіча,30-06-1956,Гінеколог,село Ялта,"провулок Бірюкова, буд. 41, Сніжне, 13833",026 952-75-25,voblyimykyta@example.com
Вовк,Прохір,Тимофійович,Чоловіча,17-04-1947,Гірничий інженер,місто Рогатин,"вулиця Стороженка Олега, буд. 9, Трускавець, 47322",028 358-38-64,aaronfilipenko@example.com
Чекалюк,Григорій,Степанович,Чоловіча,04-12-1951,Редактор,хутір Судак ,"узвіз 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 39 кв. 57, Балаклія, 19653",+380 18 042 97 85,hviter@example.org
Штокало,Варфоломій,Симонович,Чоловіча,25-09-1944,Вчитель,село Антрацит ,"узвіз Проектований 3-й, буд. 3 кв. 81, Дніпро , 76088",029 193-26-10,zakharchenkooleksandr@example.net
Євтушок,Болеслав,Пилипович,Чоловіча,05-04-2008,Електрослюсар,хутір Покров,"провулок Нафтовиків 1-й, буд. 16 кв. 80, Нова Каховка, 95558",439-31-72,khrystyna34@example.com
Ільєнко,Соломон,Захарович,Чоловіча,21-02-1979,Астроном,село Брянка,"проспект Селекційна, буд. 9, Черкаси, 90791",047 716-59-26,ilienkokyrylo@example.org
Аврамчук,Вадим,Леопольдович,Чоловіча,20-01-1948,Швачка,хутір Красилів,"провулок Станційна 3-тя, буд. 7 кв. 1, Краматорськ, 58240",+380 (03) 262-33-75,ustymsvyrydenko@example.org
Гуцуляк,Теодор,Костянтинович,Чоловіча,22-07-1960,Реставратор,селище Монастирище,"парк Омська, буд. 865 кв. 340, Ланівці, 92629",+380 93 720-84-53,okashchenko@example.org
Сич,Михайло,Леопольдович,Чоловіча,24-10-1971,Євнух,хутір Верхівцеве,"узвіз Восьмого березня 5-й, буд. 203 кв. 8, Вишневе , 61209",052 717-09-26,demydbarannyk@example.org
Дробаха,Семен,Олександрович,Чоловіча,16-11-1979,Мінералог,місто Львів,"шосе Державіна, буд. 9 кв. 570, Вільногірськ, 75848",+380 69 590 31 32,fzasenko@example.com
Ящук,Ярема,Іванович,Чоловіча,09-01-2000,Реставратор,хутір Буча,"узвіз Олександра Невського 5-й, буд. 53 кв. 6, Тростянець, 55210",079 075 41 88,liaremchuk@example.com
Скиба,Арсен,Єфремович,Чоловіча,23-10-1997,Слідчий,місто Новий Буг,"шосе Аеродромний 3-й, буд. 6, Полонне, 31149",+380 (56) 821-78-01,tsisykzorian@example.com
Удовенко,Демʼян,Аркадійович,Чоловіча,08-02-1977,Науковець,село Київ,"парк Дачна, буд. 242, Радехів, 61499",+380 (29) 244-99-41,valentynatsiupa@example.com
Симоненко,Соломон,Омелянович,Чоловіча,24-09-1957,Журналіст,селище Біла Церква,"вулиця Партизанська, буд. 5, Дергачі, 07886",+380 (39) 670-56-40,thavryshkevych@example.net
Скоробогатько,Ігнат,Михайлович,Чоловіча,20-01-1980,Журналіст,місто Горішні Плавні,"проспект Тимірязєва, буд. 92, Єнакієве, 27745",302-05-40,heorhii20@example.net
Охримович,Демид,Романович,Чоловіча,17-08-1991,Складальник,селище Новодністровськ,"шосе Світанку, буд. 908, Харків, 33494",+380 43 026-18-84,aierchenko@example.com
Яременко,Прохір,Гордійович,Чоловіча,25-01-2006,Машиніст,село Нововолинськ,"провулок Олександра Невського, буд. 49, Фастів, 79920",062 001-58-03,edytaartemenko@example.org
Тесленко,Алевтин,Августинович,Чоловіча,28-03-1941,Електротехнік,хутір П'ятихатки,"проспект Маршрутна, буд. 3, Берестечко, 13258",339-21-56,halynaderehus@example.org
Бабиченко,Яків,Артемович,Чоловіча,10-03-1967,Електрослюсар,місто Апостолове,"вулиця Каштанова, буд. 4, Вугледар, 56405",+380 55 623 54 15,kybkalosvitlana@example.com
Жаліло,Аркадій,Орестович,Чоловіча,01-12-1992,Гицель,селище Зборів,"проспект Юннатів 3-й, буд. 033, Тернопіль, 38298",+380 (31) 398-09-00,shyiandemian@example.com
Москаль,Панас,Гаврилович,Чоловіча,29-08-1982,Менеджер,місто Вільнянськ,"вулиця Калнишевського Петра, буд. 638, Севастополь, 28526",818 59 55,ulahoda@example.org
Рябовіл,Миколай,Данилович,Чоловіча,07-04-1983,Мікробіолог,хутір Вишневе ,"провулок Молодіжна, буд. 2, Свалява, 68450",089 762 00 36,bohdanpelekh@example.net
Бабко,Павло,Адамович,Чоловіча,19-11-1968,Головний меркшейдер,селище Моршин,"узвіз Слобідський узвіз, буд. 05 кв. 281, Макіївка, 51190",+380 02 914-97-09,boleslavmykytiuk@example.org
Остапчук,Ярослав,Пантелеймонович,Чоловіча,01-09-1949,Продюсер,селище Новомиргород,"провулок Лінія 44-та, буд. 87 кв. 26, Коростень, 23741",209 12 05,bohuslavaivashchenko@example.net
Деревʼянко,Ярослав,Вікторович,Чоловіча,01-03-1982,Геолог,місто Знам'янка,"провулок Моторний 2-й, буд. 7 кв. 98, Глобине, 31571",007 164-47-68,stanislav07@example.org
Рева,Артем,Володимирович,Чоловіча,07-03-1970,Музикознавець,село Петрово-Красносілля,"узвіз Рожева, буд. 07, Шепетівка, 01260",629 58 24,mzaiets@example.net
Скорик,Дмитро,Адамович,Чоловіча,29-05-1960,Секретар,село Рудки,"провулок Амурський 3-й, буд. 69 кв. 5, Севастополь, 94780",049 845-67-12,ftsybulenko@example.net
Зінченко,Аркадій,Демʼянович,Чоловіча,21-03-1974,Мінералог,хутір Пустомити,"проспект Коблевська, буд. 4 кв. 5, Львів, 82174",723 57 00,ostaphaidabura@example.org
Власенко,Єфрем,Данилович,Чоловіча,31-05-1980,Фізик,село Герца,"шосе Регенсбург, буд. 5 кв. 1, Жовті Води, 14912",+380 27 933 31 21,ftarasenko@example.com
Ващук,Тимофій,Ігнатович,Чоловіча,04-12-1958,Патологоанатом,місто Кам'янка-Бузька,"сквер Композитора Ніщинського, буд. 6, Кривий Ріг, 44024",630 73 57,larysa48@example.org
Ільєнко,Демид,Андрійович,Чоловіча,23-09-2007,Продюсер,селище Гуляйполе,"площа Садова 5-та, буд. 08, Лисичанськ, 22346",667-30-25,ostapromanchuk@example.com
Черненко,Соломон,Миронович,Чоловіча,21-12-1966,Реставратор,місто Чорнобиль,"провулок Степана Разіна, буд. 0, Першотравенськ, 32913",072 152 04 54,boryslavbarannyk@example.net
Туркало,Василь,Богуславович,Чоловіча,05-09-2004,Стиліст,селище Долина ,"сквер Восьмого березня 6-й, буд. 08 кв. 76, Кіцмань, 19979",+380 (13) 069-58-70,orynahavryshkevych@example.com
Рябовіл,Борис,Варфоломійович,Чоловіча,25-02-2005,Доцент,селище Новомиргород,"провулок Лугова, буд. 94 кв. 354, Немирів, 30179",+380 (67) 461-90-78,baturynetsihor@example.net
Гаврюшенко,Кирило,Геннадійович,Чоловіча,30-03-1941,Гінеколог,хутір Татарбунари,"шосе Василя Симоненка, буд. 9, Вільнянськ, 45188",044 453-93-34,ydemianiuk@example.org
Барабаш,Франц,Михайлович,Чоловіча,01-06-1955,Машиніст,село Судова Вишня,"парк Тупиковий 2-й, буд. 89 кв. 211, Верхівцеве, 71497",+380 37 708-61-81,liudmylabarabash@example.net
Бгиденко,Аврелій,Яремович,Чоловіча,24-11-2007,Епідеміолог,селище Сквира,"набережна Новоберегова, буд. 295 кв. 5, Бобровиця, 50349",007 921-75-89,zynoviihunko@example.com
Микитюк,Аврелій,Гаврилович,Чоловіча,30-03-2003,Адвокат,село Бершадь,"набережна Санаторний, буд. 544, Зборів, 06248",003 362 64 55,sviatoslavagerus@example.net
Андрусенко,Пилип,Давидович,Чоловіча,06-06-1956,Програміст,село Яремче,"парк Дежньова, буд. 849 кв. 261, Мала Виска, 60620",+380 88 315 44 80,skorykillia@example.com
Козак,Валентин,Єлисейович,Чоловіча,08-04-1951,Режисер,село Жданівка,"узвіз 3-тя Лінія Марії Демченко, буд. 09 кв. 155, Вільнянськ, 53519",+380 50 302 00 74,danylo17@example.net
Калениченко,Хома,Макарович,Чоловіча,06-02-1966,Ріелтор,селище Волочиськ,"узвіз Прирейкова, буд. 8 кв. 85, Полонне, 95039",+380 87 386-32-40,aeibozhenko@example.org
